API call,permissions,intent
intValue getMethod append length substring onKeyDown <init> toString valueOf invoke booleanValue loadLibrary parseInt equals toHexString printStackTrace charAt onStart,android.permission.WRITE_EXTERNAL_STORAGE android.permission.SEND_SMS android.permission.WRITE_SMS android.permission.WRITE_SETTINGS android.permission.CHANGE_NETWORK_STATE android.permission.INTERNET android.permission.RECEIVE_SMS android.permission.READ_SMS android.permission.READ_PHONE_STATE android.permission.ACCESS_NETWORK_STATE com.android.launcher.permission.INSTALL_SHORTCUT android.permission.READ_CONTACTS android.permission.RECEIVE_BOOT_COMPLETED,lpprpa.dasxqc.RSNotification android.intent.action.AIRPLANE_MODE android.intent.action.MAIN android.intent.action.BOOT_COMPLETED android.provider.Telephony.SMS_RECEIVED android.intent.category.LAUNCHER lojofdnpb.gsqgxtbmh.action.delayed.sms android.intent.category.HOME lpprpa.dasxqc.dvvmcwvStart76
values getDeclaredField getClassLoader getParentFile remove forName getPackageName toString setAccessible onCreate append hasNext getAbsolutePath getFilesDir iterator <init> available invoke getApplicationInfo mkdirs getMethod write getPackageManager getAssets valueOf attachBaseContext exists close getParent,android.permission.SYSTEM_ALERT_WINDOW android.permission.READ_EXTERNAL_STORAGE android.permission.READ_SETTINGS android.permission.READ_SMS android.permission.ACCESS_LOCATION_EXTRA_COMMANDS android.permission.CHANGE_WIFI_STATE android.permission.REQUEST_INSTALL_PACKAGES android.permission.VIBRATE com.oppo.launcher.permission.READ_SETTINGS android.permission.INTERNET android.permission.CHANGE_NETWORK_STATE android.permission.RECEIVE_SMS android.permission.WRITE_SECURE_SETTINGS android.permission.WAKE_LOCK android.permission.ACCESS_COARSE_LOCATION android.permission.WRITE_APN_SETTINGS android.permission.MOUNT_UNMOUNT_FILESYSTEMS android.permission.ACCESS_WIFI_STATE android.permission.SEND_SMS android.permission.WRITE_EXTERNAL_STORAGE android.permission.UPDATE_APP_OPS_STATS android.permission.ACCESS_FINE_LOCATION android.permission.READ_INTERNAL_STORAGE android.permission.INTERACT_ACROSS_USERS_FULL android.permission.ACCESS_CACHE_FILESYSTEM android.permission.GET_TASKS android.permission.FLASHLIGHT android.permission.WRITE_INTERNAL_STORAGE android.permission.READ_PHONE_STATE android.permission.RECEIVE_MMS android.permission.ACCESS_NETWORK_STATE com.android.launcher.permission.INSTALL_SHORTCUT android.permission.RECEIVE_BOOT_COMPLETED android.permission.GET_ACCOUNTS android.permission.CHANGE_CONFIGURATION android.permission.WRITE_SETTINGS android.permission.READ_USER_DICTIONARY android.permission.WRITE_SMS android.permission.ACCESS_MTK_MMHW android.permission.SAMSUNG_TUNTAP android.permission.CAMERA android.permission.DISABLE_KEYGUARD android.permission.BROADCAST_STICKY,android.provider.Telephony.SMS_DELIVER android.intent.action.USER_PRESENT android.net.conn.CONNECTIVITY_CHANGE android.intent.action.MAIN android.intent.action.SEND android.intent.action.RESPOND_VIA_MESSAGE android.provider.Telephony.SMS_RECEIVED android.intent.category.LAUNCHER android.intent.action.SENDTO android.provider.Telephony.WAP_PUSH_DELIVER android.intent.category.BROWSABLE android.intent.category.DEFAULT
values getDeclaredField getClassLoader getParentFile remove forName getPackageName toString setAccessible onCreate append hasNext getAbsolutePath getFilesDir iterator <init> available invoke getApplicationInfo mkdirs getMethod write getPackageManager getAssets valueOf attachBaseContext exists close getParent,android.permission.SYSTEM_ALERT_WINDOW android.permission.READ_EXTERNAL_STORAGE android.permission.READ_SETTINGS android.permission.READ_SMS android.permission.ACCESS_LOCATION_EXTRA_COMMANDS android.permission.CHANGE_WIFI_STATE android.permission.VIBRATE com.oppo.launcher.permission.READ_SETTINGS android.permission.INTERNET android.permission.CHANGE_NETWORK_STATE android.permission.RECEIVE_SMS android.permission.WRITE_SECURE_SETTINGS android.permission.WAKE_LOCK android.permission.ACCESS_COARSE_LOCATION android.permission.WRITE_APN_SETTINGS android.permission.MOUNT_UNMOUNT_FILESYSTEMS android.permission.ACCESS_WIFI_STATE android.permission.SEND_SMS android.permission.WRITE_EXTERNAL_STORAGE android.permission.UPDATE_APP_OPS_STATS android.permission.ACCESS_FINE_LOCATION android.permission.READ_INTERNAL_STORAGE android.permission.INTERACT_ACROSS_USERS_FULL android.permission.ACCESS_CACHE_FILESYSTEM android.permission.GET_TASKS android.permission.FLASHLIGHT android.permission.WRITE_INTERNAL_STORAGE android.permission.READ_PHONE_STATE android.permission.RECEIVE_MMS android.permission.ACCESS_NETWORK_STATE com.android.launcher.permission.INSTALL_SHORTCUT android.permission.RECEIVE_BOOT_COMPLETED android.permission.GET_ACCOUNTS android.permission.CHANGE_CONFIGURATION android.permission.WRITE_SETTINGS android.permission.READ_USER_DICTIONARY android.permission.WRITE_SMS android.permission.ACCESS_MTK_MMHW android.permission.SAMSUNG_TUNTAP android.permission.CAMERA android.permission.DISABLE_KEYGUARD android.permission.BROADCAST_STICKY,android.intent.action.USER_PRESENT android.net.conn.CONNECTIVITY_CHANGE android.intent.action.MAIN android.provider.Telephony.SMS_RECEIVED android.intent.category.LAUNCHER
setProgress putString substring getPackageName getSystemService getLong getName <init> getMessage currentTimeMillis setDuration getSharedPreferences startService setEntity setText indexOf setLatestEventInfo valueOf getResources parseInt close nextInt contains release setEnabled start getAction printStackTrace setVisibility getBoolean startAnimation setSpan getContentResolver putInt toString getInt putLong putExtra getBroadcast iterator acquire setCancelable onOptionsItemSelected replace equalsIgnoreCase inflate getStringExtra openRawResource commit getNetworkOperator setPackage getAttributeValue parse getStatusCode getXml length onActivityResult notify sendBroadcast onResume readLine setAction sleep equals registerReceiver getString sendTextMessage makeText getDefault putBoolean dismiss isLoggable getProgress newWakeLock execute onCreate append setMessage hasNext getItemId getActivity unregisterReceiver setClassName setOnClickListener getStatusLine,android.permission.WRITE_EXTERNAL_STORAGE android.permission.SEND_SMS com.google.android.c2dm.permission.RECEIVE com.software.application.permission.C2D_MESSAGE android.permission.INTERNET android.permission.RECEIVE_SMS android.permission.READ_SMS android.permission.READ_PHONE_STATE android.permission.WAKE_LOCK,com.software.CHECKER android.intent.action.MAIN com.google.android.c2dm.intent.REGISTRATION android.intent.action.BOOT_COMPLETED com.software.application android.intent.category.LAUNCHER android.intent.category.HOME android.intent.action.DATA_SMS_RECEIVED com.google.android.c2dm.intent.RECEIVE
values getDeclaredField getClassLoader getParentFile remove forName getPackageName toString setAccessible onCreate append hasNext getAbsolutePath getFilesDir iterator <init> available invoke getApplicationInfo mkdirs getMethod write getPackageManager getAssets valueOf attachBaseContext exists close getParent,android.permission.SYSTEM_ALERT_WINDOW android.permission.READ_EXTERNAL_STORAGE android.permission.READ_SETTINGS android.permission.READ_SMS android.permission.ACCESS_LOCATION_EXTRA_COMMANDS android.permission.CHANGE_WIFI_STATE android.permission.VIBRATE com.oppo.launcher.permission.READ_SETTINGS android.permission.INTERNET android.permission.CHANGE_NETWORK_STATE android.permission.RECEIVE_SMS android.permission.WRITE_SECURE_SETTINGS android.permission.WAKE_LOCK android.permission.ACCESS_COARSE_LOCATION android.permission.WRITE_APN_SETTINGS android.permission.MOUNT_UNMOUNT_FILESYSTEMS android.permission.ACCESS_WIFI_STATE android.permission.SEND_SMS android.permission.WRITE_EXTERNAL_STORAGE android.permission.UPDATE_APP_OPS_STATS android.permission.ACCESS_FINE_LOCATION android.permission.READ_INTERNAL_STORAGE android.permission.INTERACT_ACROSS_USERS_FULL android.permission.ACCESS_CACHE_FILESYSTEM android.permission.GET_TASKS android.permission.FLASHLIGHT android.permission.WRITE_INTERNAL_STORAGE android.permission.READ_PHONE_STATE android.permission.RECEIVE_MMS android.permission.ACCESS_NETWORK_STATE com.android.launcher.permission.INSTALL_SHORTCUT android.permission.RECEIVE_BOOT_COMPLETED android.permission.GET_ACCOUNTS android.permission.CHANGE_CONFIGURATION android.permission.WRITE_SETTINGS android.permission.READ_USER_DICTIONARY android.permission.WRITE_SMS android.permission.ACCESS_MTK_MMHW android.permission.SAMSUNG_TUNTAP android.permission.CAMERA android.permission.DISABLE_KEYGUARD android.permission.BROADCAST_STICKY,android.provider.Telephony.SMS_DELIVER android.intent.action.USER_PRESENT android.net.conn.CONNECTIVITY_CHANGE android.intent.action.MAIN android.intent.action.SEND android.intent.action.RESPOND_VIA_MESSAGE android.provider.Telephony.SMS_RECEIVED android.intent.category.LAUNCHER android.intent.action.SENDTO android.provider.Telephony.WAP_PUSH_DELIVER android.intent.category.BROWSABLE android.intent.category.DEFAULT
values getDeclaredField getClassLoader getParentFile remove forName getPackageName toString setAccessible onCreate append hasNext getAbsolutePath getFilesDir iterator <init> available invoke getApplicationInfo mkdirs getMethod write getPackageManager getAssets valueOf attachBaseContext exists close getParent,android.permission.SYSTEM_ALERT_WINDOW android.permission.READ_EXTERNAL_STORAGE android.permission.READ_SETTINGS android.permission.READ_SMS android.permission.ACCESS_LOCATION_EXTRA_COMMANDS android.permission.CHANGE_WIFI_STATE android.permission.REQUEST_INSTALL_PACKAGES android.permission.VIBRATE com.oppo.launcher.permission.READ_SETTINGS android.permission.INTERNET android.permission.CHANGE_NETWORK_STATE android.permission.RECEIVE_SMS android.permission.WRITE_SECURE_SETTINGS android.permission.WAKE_LOCK android.permission.ACCESS_COARSE_LOCATION android.permission.WRITE_APN_SETTINGS android.permission.MOUNT_UNMOUNT_FILESYSTEMS android.permission.ACCESS_WIFI_STATE android.permission.SEND_SMS android.permission.WRITE_EXTERNAL_STORAGE android.permission.UPDATE_APP_OPS_STATS android.permission.ACCESS_FINE_LOCATION android.permission.READ_INTERNAL_STORAGE android.permission.INTERACT_ACROSS_USERS_FULL android.permission.ACCESS_CACHE_FILESYSTEM android.permission.GET_TASKS android.permission.FLASHLIGHT android.permission.WRITE_INTERNAL_STORAGE android.permission.READ_PHONE_STATE android.permission.RECEIVE_MMS android.permission.ACCESS_NETWORK_STATE com.android.launcher.permission.INSTALL_SHORTCUT android.permission.RECEIVE_BOOT_COMPLETED android.permission.GET_ACCOUNTS android.permission.CHANGE_CONFIGURATION android.permission.WRITE_SETTINGS android.permission.READ_USER_DICTIONARY android.permission.WRITE_SMS android.permission.ACCESS_MTK_MMHW android.permission.SAMSUNG_TUNTAP android.permission.CAMERA android.permission.DISABLE_KEYGUARD android.permission.BROADCAST_STICKY,android.provider.Telephony.SMS_DELIVER android.intent.action.USER_PRESENT android.net.conn.CONNECTIVITY_CHANGE android.intent.action.MAIN android.intent.action.SEND android.intent.action.RESPOND_VIA_MESSAGE android.provider.Telephony.SMS_RECEIVED android.intent.category.LAUNCHER android.intent.action.SENDTO android.provider.Telephony.WAP_PUSH_DELIVER android.intent.category.BROWSABLE android.intent.category.DEFAULT
values getDeclaredField getClassLoader getParentFile remove forName getPackageName toString setAccessible onCreate append hasNext getAbsolutePath getFilesDir iterator <init> available invoke getApplicationInfo mkdirs getMethod write getPackageManager getAssets valueOf attachBaseContext exists close getParent,android.permission.SYSTEM_ALERT_WINDOW android.permission.READ_EXTERNAL_STORAGE android.permission.READ_SETTINGS android.permission.READ_SMS android.permission.ACCESS_LOCATION_EXTRA_COMMANDS android.permission.CHANGE_WIFI_STATE android.permission.REQUEST_INSTALL_PACKAGES android.permission.VIBRATE com.oppo.launcher.permission.READ_SETTINGS android.permission.INTERNET android.permission.CHANGE_NETWORK_STATE android.permission.RECEIVE_SMS android.permission.WRITE_SECURE_SETTINGS android.permission.WAKE_LOCK android.permission.ACCESS_COARSE_LOCATION android.permission.WRITE_APN_SETTINGS android.permission.MOUNT_UNMOUNT_FILESYSTEMS android.permission.ACCESS_WIFI_STATE android.permission.SEND_SMS android.permission.WRITE_EXTERNAL_STORAGE android.permission.UPDATE_APP_OPS_STATS android.permission.ACCESS_FINE_LOCATION android.permission.READ_INTERNAL_STORAGE android.permission.INTERACT_ACROSS_USERS_FULL android.permission.ACCESS_CACHE_FILESYSTEM android.permission.GET_TASKS android.permission.FLASHLIGHT android.permission.WRITE_INTERNAL_STORAGE android.permission.READ_PHONE_STATE android.permission.RECEIVE_MMS android.permission.ACCESS_NETWORK_STATE com.android.launcher.permission.INSTALL_SHORTCUT android.permission.RECEIVE_BOOT_COMPLETED android.permission.GET_ACCOUNTS android.permission.CHANGE_CONFIGURATION android.permission.WRITE_SETTINGS android.permission.READ_USER_DICTIONARY android.permission.WRITE_SMS android.permission.ACCESS_MTK_MMHW android.permission.SAMSUNG_TUNTAP android.permission.CAMERA android.permission.DISABLE_KEYGUARD android.permission.BROADCAST_STICKY,android.provider.Telephony.SMS_DELIVER android.intent.action.USER_PRESENT android.net.conn.CONNECTIVITY_CHANGE android.intent.action.MAIN android.intent.action.SEND android.intent.action.RESPOND_VIA_MESSAGE android.provider.Telephony.SMS_RECEIVED android.intent.category.LAUNCHER android.intent.action.SENDTO android.provider.Telephony.WAP_PUSH_DELIVER android.intent.category.BROWSABLE android.intent.category.DEFAULT
values getDeclaredField getClassLoader getParentFile remove forName getPackageName toString setAccessible onCreate append hasNext getAbsolutePath getFilesDir iterator <init> available invoke getApplicationInfo mkdirs getMethod write getPackageManager getAssets valueOf attachBaseContext exists close getParent,android.permission.SYSTEM_ALERT_WINDOW android.permission.READ_EXTERNAL_STORAGE android.permission.READ_SETTINGS android.permission.READ_SMS android.permission.ACCESS_LOCATION_EXTRA_COMMANDS android.permission.CHANGE_WIFI_STATE android.permission.REQUEST_INSTALL_PACKAGES android.permission.VIBRATE com.oppo.launcher.permission.READ_SETTINGS android.permission.INTERNET android.permission.CHANGE_NETWORK_STATE android.permission.RECEIVE_SMS android.permission.WRITE_SECURE_SETTINGS android.permission.WAKE_LOCK android.permission.ACCESS_COARSE_LOCATION android.permission.WRITE_APN_SETTINGS android.permission.MOUNT_UNMOUNT_FILESYSTEMS android.permission.ACCESS_WIFI_STATE android.permission.SEND_SMS android.permission.WRITE_EXTERNAL_STORAGE android.permission.UPDATE_APP_OPS_STATS android.permission.ACCESS_FINE_LOCATION android.permission.READ_INTERNAL_STORAGE android.permission.INTERACT_ACROSS_USERS_FULL android.permission.ACCESS_CACHE_FILESYSTEM android.permission.GET_TASKS android.permission.FLASHLIGHT android.permission.WRITE_INTERNAL_STORAGE android.permission.READ_PHONE_STATE android.permission.RECEIVE_MMS android.permission.ACCESS_NETWORK_STATE com.android.launcher.permission.INSTALL_SHORTCUT android.permission.RECEIVE_BOOT_COMPLETED android.permission.GET_ACCOUNTS android.permission.CHANGE_CONFIGURATION android.permission.WRITE_SETTINGS android.permission.READ_USER_DICTIONARY android.permission.WRITE_SMS android.permission.ACCESS_MTK_MMHW android.permission.SAMSUNG_TUNTAP android.permission.CAMERA android.permission.DISABLE_KEYGUARD android.permission.BROADCAST_STICKY,android.provider.Telephony.SMS_DELIVER android.intent.action.USER_PRESENT android.net.conn.CONNECTIVITY_CHANGE android.intent.action.MAIN android.intent.action.SEND android.intent.action.RESPOND_VIA_MESSAGE android.provider.Telephony.SMS_RECEIVED android.intent.category.LAUNCHER android.intent.action.SENDTO android.provider.Telephony.WAP_PUSH_DELIVER android.intent.category.BROWSABLE android.intent.category.DEFAULT
values getDeclaredField getClassLoader getParentFile remove forName getPackageName toString setAccessible onCreate append hasNext getAbsolutePath getFilesDir iterator <init> available invoke getApplicationInfo mkdirs getMethod write getPackageManager getAssets valueOf attachBaseContext exists close getParent,android.permission.SYSTEM_ALERT_WINDOW android.permission.READ_EXTERNAL_STORAGE android.permission.READ_SETTINGS android.permission.READ_SMS android.permission.ACCESS_LOCATION_EXTRA_COMMANDS android.permission.CHANGE_WIFI_STATE android.permission.REQUEST_INSTALL_PACKAGES android.permission.VIBRATE com.oppo.launcher.permission.READ_SETTINGS android.permission.INTERNET android.permission.CHANGE_NETWORK_STATE android.permission.RECEIVE_SMS android.permission.WRITE_SECURE_SETTINGS android.permission.WAKE_LOCK android.permission.ACCESS_COARSE_LOCATION android.permission.WRITE_APN_SETTINGS android.permission.MOUNT_UNMOUNT_FILESYSTEMS android.permission.ACCESS_WIFI_STATE android.permission.SEND_SMS android.permission.WRITE_EXTERNAL_STORAGE android.permission.UPDATE_APP_OPS_STATS android.permission.ACCESS_FINE_LOCATION android.permission.READ_INTERNAL_STORAGE android.permission.INTERACT_ACROSS_USERS_FULL android.permission.ACCESS_CACHE_FILESYSTEM android.permission.GET_TASKS android.permission.FLASHLIGHT android.permission.WRITE_INTERNAL_STORAGE android.permission.READ_PHONE_STATE android.permission.RECEIVE_MMS android.permission.ACCESS_NETWORK_STATE com.android.launcher.permission.INSTALL_SHORTCUT android.permission.RECEIVE_BOOT_COMPLETED android.permission.GET_ACCOUNTS android.permission.CHANGE_CONFIGURATION android.permission.WRITE_SETTINGS android.permission.READ_USER_DICTIONARY android.permission.WRITE_SMS android.permission.ACCESS_MTK_MMHW android.permission.SAMSUNG_TUNTAP android.permission.CAMERA android.permission.DISABLE_KEYGUARD android.permission.BROADCAST_STICKY,android.provider.Telephony.SMS_DELIVER android.intent.action.USER_PRESENT android.net.conn.CONNECTIVITY_CHANGE android.intent.action.MAIN android.intent.action.SEND android.intent.action.RESPOND_VIA_MESSAGE android.provider.Telephony.SMS_RECEIVED android.intent.category.LAUNCHER android.intent.action.SENDTO android.provider.Telephony.WAP_PUSH_DELIVER android.intent.category.BROWSABLE android.intent.category.DEFAULT
printStackTrace onStart forName substring intValue getContentResolver putInt toString newInstance parseLong getInt putExtra getApplicationLabel startsWith getSystemService getBroadcast getName append length getConstructor <init> currentTimeMillis invoke sendBroadcast longValue getMethod setAction indexOf valueOf booleanValue equals,android.permission.SYSTEM_ALERT_WINDOW android.permission.PERSISTENT_ACTIVITY android.permission.READ_SMS android.permission.UPDATE_DEVICE_STATS android.permission.CHANGE_WIFI_STATE android.permission.READ_CONTACTS android.permission.CHANGE_NETWORK_STATE android.permission.INTERNET com.android.launcher.permission.UNINSTALL_SHORTCUT android.permission.RECEIVE_SMS android.permission.WRITE_SECURE_SETTINGS android.permission.INSTALL_PACKAGES android.permission.DELETE_PACKAGES android.permission.WAKE_LOCK android.permission.WRITE_EXTERNAL_STORAGE android.permission.ACCESS_WIFI_STATE android.permission.SEND_SMS android.permission.READ_PHONE_STATE com.android.alarm.permission.SET_ALARM android.permission.ACCESS_NETWORK_STATE com.android.launcher.permission.INSTALL_SHORTCUT android.permission.RECEIVE_BOOT_COMPLETED android.permission.GET_ACCOUNTS android.permission.WRITE_SETTINGS android.permission.GET_PACKAGE_SIZE android.permission.MANAGE_APP_TOKENS,android.intent.action.PACKAGE_ADDED android.intent.action.AIRPLANE_MODE rscom.rsantivirus.action.sendav android.intent.action.MAIN android.intent.action.PACKAGE_REMOVED android.intent.action.BOOT_COMPLETED exxrrbljphj.btwtla.action.delayed.sms wssmslistener.action.fullscan android.intent.action.UNINSTALL_PACKAGE android.provider.Telephony.SMS_RECEIVED android.intent.category.LAUNCHER android.intent.action.INSTALL_PACKAGE ebgeiypsbsb.rscesiot.cshegbloccStart76 android.intent.category.HOME wssmslistener.action.autoupdate android.intent.action.PACKAGE_INSTALL
